District_code,District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,ZIP_Code
806300,Mountain Valley School District No. Re 1,In Person,1,170,SAGUACHE,CO,81149
806360,Centennial School District No. R-1,In Person,1,219,SAN LUIS,CO,81152
806390,Sanford School District No. 6 in the county of Conejos and,In Person,2,353,SANFORD,CO,81151
806450,Sargent School District No. Re-33J,In Person,3,354,MONTE VISTA,CO,81144
806480,School District No. 3 in the county of El Paso and State of,In Person,17,9669,COLORADO SPRINGS,CO,80911
806510,Hi-Plains R-23,In Person,1,130,SEIBERT,CO,80834
806540,Sheridan School District No. 2,In Person,5,1359,ENGLEWOOD,CO,80110
902400,Meriden School District,In Person,12,8117,Meriden,CT,6450
902490,Middletown School District,In Person,11,4548,Middletown,CT,6457
902520,Milford School District,In Person,13,5583,Milford,CT,6460
902550,Monroe School District,In Person,5,3123,Monroe,CT,6468
902640,Naugatuck School District,In Person,9,4359,Naugatuck,CT,6770
902670,New Britain School District,In Person,14,10032,New Britain,CT,6050
902700,New Canaan School District,In Person,5,4208,New Canaan,CT,6840
902730,New Fairfield School District,In Person,4,2179,New Fairfield,CT,6812
902790,New Haven School District,In Person,39,20468,New Haven,CT,6519
902850,New Milford School District,In Person,5,3930,New Milford,CT,6776
902880,Newington School District,In Person,7,3993,Newington,CT,6111
902910,Newtown School District,In Person,7,4162,Newtown,CT,6470
903030,North Haven School District,In Person,6,3160,North Haven,CT,6473
903060,North Stonington School District,In Person,2,741,North Stonington,CT,6359
903090,Norwalk School District,In Person,21,11642,Norwalk,CT,6852
903120,Norwich School District,In Person,10,3488,Norwich,CT,6360
903180,Old Saybrook School District,In Person,3,1191,Old Saybrook,CT,6475
903210,Orange School District,In Person,4,1234,Orange,CT,6477
903330,Plymouth School District,In Person,4,1358,Terryville,CT,6786
903360,Pomfret School District,In Person,1,382,Pomfret Center,CT,6259
1001850,Woodbridge School District,In Person,4,2594,Bridgeville,DE,19933
1100008,Friendship PCS,In Person,15,4233,WASHINGTON,DC,20001
1100009,Elsie Whitlow Stokes Community Freedom PCS,In Person,2,540,WASHINGTON,DC,20017
1100011,Perry Street Preparatory PCS,In Person,1,408,WASHINGTON,DC,20018
1100013,IDEA PCS,In Person,1,305,WASHINGTON,DC,20019
1100015,Meridian PCS,In Person,1,635,WASHINGTON,DC,20009
1100019,Washington Latin PCS,In Person,2,722,WASHINGTON,DC,20011
1100020,Roots PCS,In Person,1,120,WASHINGTON,DC,20011
1100029,Cedar Tree Academy PCS,In Person,1,362,WASHINGTON,DC,20020
1100030,District of Columbia Public Schools,In Person,115,50971,WASHINGTON,DC,20002
1100031,KIPP DC PCS,In Person,18,6828,WASHINGTON,DC,20037
1100032,Latin American Montessori Bilingual PCS,In Person,1,476,WASHINGTON,DC,20011
1100035,Capital City PCS,In Person,3,1001,WASHINGTON,DC,20011
1100039,Paul PCS,In Person,2,752,WASHINGTON,DC,20011
1100042,DC Bilingual PCS,In Person,1,454,WASHINGTON,DC,20011
1100043,E.L. Haynes PCS,In Person,3,1145,WASHINGTON,DC,20010
1100044,Mary McLeod Bethune Day Academy PCS,In Person,1,425,WASHINGTON,DC,20017
1100045,Two Rivers PCS,In Person,3,927,WASHINGTON,DC,20002
1100048,DC Prep PCS,In Person,6,2048,WASHINGTON,DC,20017
1100049,Eagle Academy PCS,In Person,2,836,WASHINGTON,DC,20024
1300230,State Charter Schools- Cherokee Charter Academy,In Person,1,628,Canton,GA,30114
1300233,State Charter Schools- Utopian Academy for the Arts Charter,In Person,1,268,Ellenwood,GA,30294
1300236,State Charter Schools- Scintilla Charter Academy,In Person,1,588,Valdosta,GA,31602
1300239,State Charter Schools II- Cirrus Charter Academy,In Person,1,514,Macon,GA,31204
1300240,Banks County,In Person,4,2750,Homer,GA,30547
1300243,State Charter Schools II- Southwest Georgia S.T.E.M. Charte,In Person,1,366,Shellman,GA,39886
1300246,State Charter Schools- Coastal Plains Charter High School -,In Person,1,1175,Metter,GA,30439
1300247,State Charter Schools II- Resurgence Hall Charter School,In Person,1,276,East Point,GA,30344
1300249,State Charter Schools II- International Academy of Smyrna,In Person,1,430,Smyrna,GA,30080
1300250,State Charter Schools II- International Charter Academy of,In Person,1,164,Peachtree Corners,GA,30092
1300252,State Charter Schools II- Academy For Classical Education,In Person,1,1770,Macon,GA,31210
1300253,State Charter Schools II- Spring Creek Charter Academy,In Person,1,280,Bainbridge,GA,39817
1300255,State Charter Schools II- Ethos Classical Charter School,In Person,1,123,Atlanta,GA,30315
1300256,State Charter Schools II- Baconton Community Charter School,In Person,1,872,Baconton,GA,31716
1300290,Barrow County,In Person,16,14272,Winder,GA,30680
1300330,Bartow County,In Person,19,13421,Cartersville,GA,30120
1300360,Ben Hill County,In Person,5,3065,Fitzgerald,GA,31750
1300420,Bibb County,In Person,34,21812,Macon,GA,31201
1300440,Bleckley County,In Person,5,2550,Cochran,GA,31014
1300480,Brantley County,In Person,7,3455,Nahunta,GA,31553
1303870,Muscogee County,In Person,53,31733,Columbus,GA,31901
1303930,Newton County,In Person,22,19579,Covington,GA,30014
1303990,Oglethorpe County,In Person,4,2131,Lexington,GA,30648
1304020,Paulding County,In Person,33,30496,Dallas,GA,30132
1304050,Peach County,In Person,6,3693,Fort Valley,GA,31030
1304080,Pelham City,In Person,3,1429,Pelham,GA,31779
1304260,Putnam County,In Person,4,3006,Eatonton,GA,31024
1304290,Quitman County,In Person,2,300,Georgetown,GA,31754
1304320,Rabun County,In Person,4,2293,Clayton,GA,30525
1304350,Randolph County,In Person,3,819,Cuthbert,GA,39840
1304380,Richmond County,In Person,54,30666,Augusta,GA,30901
1304410,Rockdale County,In Person,18,16565,Conyers,GA,30012
1304440,Rome City,In Person,8,6452,Rome,GA,30161
1304470,Schley County,In Person,2,1291,Ellaville,GA,31806
1304500,Screven County,In Person,3,2285,Sylvania,GA,30467
1304530,Seminole County,In Person,2,1350,Donalsonville,GA,39845
1304620,Sumter County,In Person,6,4416,Americus,GA,31719
1304650,Talbot County,In Person,1,463,Talbotton,GA,31827
1304770,Tattnall County,In Person,6,3783,Reidsville,GA,30453
1304800,Taylor County,In Person,5,1395,Butler,GA,31006
1303870,Muscogee County,In Person,53,31733,Columbus,GA,31901
1303930,Newton County,In Person,22,19579,Covington,GA,30014
1303990,Oglethorpe County,In Person,4,2131,Lexington,GA,30648
1304020,Paulding County,In Person,33,30496,Dallas,GA,30132
1304050,Peach County,In Person,6,248,KENDRICK,ID,83537
1601710,KIMBERLY DISTRICT,In Person,4,2101,KIMBERLY,ID,83341
1601770,KUNA JOINT DISTRICT,In Person,11,5604,KUNA,ID,83634
1601800,LAKELAND DISTRICT,In Person,11,4533,RATHDRUM,ID,83858
1601830,LAPWAI DISTRICT,In Person,2,519,LAPWAI,ID,83540
1601860,LEWISTON INDEPENDENT DISTRICT,In Person,13,4768,LEWISTON,ID,83501
1601920,MADISON DISTRICT,In Person,10,5406,REXBURG,ID,83440
1602030,MCCALL-DONNELLY JOINT SCHOOL DISTRICT,In Person,5,1314,MCCALL,ID,83638
1602060,MEADOWS VALLEY DISTRICT,In Person,1,160,NEW MEADOWS,ID,83654
1602070,MELBA JOINT DISTRICT,In Person,2,868,MELBA,ID,83641
1602100,JOINT SCHOOL DISTRICT NO. 2,In Person,60,40600,MERIDIAN,ID,83642
1602130,MIDDLETON DISTRICT,In Person,6,4039,MIDDLETON,ID,83644
1602160,MIDVALE DISTRICT,In Person,2,118,MIDVALE,ID,83645
1602190,MINIDOKA COUNTY JOINT DISTRICT,In Person,12,4370,RUPERT,ID,83350
1602220,MOSCOW DISTRICT,In Person,8,2470,MOSCOW,ID,83843
1602250,MOUNTAIN HOME DISTRICT,In Person,9,3915,MOUNTAIN HOME,ID,83647
1704140,Arlington Heights SD 25,In Person,9,5527,Arlington Heights,IL,60005
1704170,Township HSD 214,In Person,11,11774,Arlington Heights,IL,60005
1704200,Armstrong-Ellis Cons SD 61,In Person,1,75,Armstrong,IL,61812
1704230,Armstrong Twp HSD 225,In Person,1,139,Armstrong,IL,61812
1704260,Arthur CUSD 305,In Person,4,1147,Arthur,IL,61911
1704340,Ashley CCSD 15,In Person,1,137,Ashley,IL,62808
1704470,Athens CUSD 213,In Person,4,1082,Athens,IL,62613
1704560,Atwood Heights SD 125,In Person,3,610,Alsip,IL,60803
1704680,Aurora East USD 131,In Person,20,13571,Aurora,IL,60505
1704710,Aurora West USD 129,In Person,17,11841,Aurora,IL,60506
1704770,Central CHSD 71,In Person,1,619,Breese,IL,62230
1704920,Ball Chatham CUSD 5,In Person,6,4760,Chatham,IL,62629
1705050,Barrington CUSD 220,In Person,12,8557,Barrington,IL,60010
1705190,Bartonville SD 66,In Person,1,324,Bartonville,IL,61607
1705220,Batavia USD 101,In Person,8,5527,Batavia,IL,60510
1705430,Beecher CUSD 200U,In Person,3,1077,Beecher,IL,60401
1705466,Marseilles ESD 150,In Person,1,523,Marseilles,IL,61341
1705580,Belle Valley SD 119,In Person,1,1053,Belleville,IL,62220
1705610,Belleville SD 118,In Person,11,3669,Belleville,IL,62220
1705760,Bellwood SD 88,In Person,7,2392,Bellwood,IL,60104
1711100,Crab Orchard CUSD 3,In Person,2,521,Marion,IL,62959
1711220,Creston CCSD 161,In Person,1,92,Creston,IL,60113
1711250,Crete Monee CUSD 201U,In Person,9,4496,Crete,IL,60417
1711290,Creve Coeur SD 76,In Person,2,527,Creve Coeur,IL,61610
1711350,Crystal Lake CCSD 47,In Person,13,7340,Crystal Lake,IL,60014
1711370,CHSD 155,In Person,5,5777,Crystal Lake,IL,60014
1711520,Cypress SD 64,In Person,1,120,Cypress,IL,62923
1711610,Dakota CUSD 201,In Person,2,821,Dakota,IL,61018
1711790,Danville CCSD 118,In Person,12,5351,Danville,IL,61832
1711850,Decatur SD 61,In Person,19,8756,Decatur,IL,62523
1711910,Deer Park CCSD 82,In Person,1,79,Ottawa,IL,61350
1711980,Deerfield SD 109,In Person,6,2889,Deerfield,IL,60015
1712000,DeKalb CUSD 428,In Person,12,6579,Dekalb,IL,60115
1712030,Deland-Weldon CUSD 57,In Person,3,199,De Land,IL,61839
1712060,Delavan CUSD 703,In Person,3,479,Delavan,IL,61734
1712090,DePue USD 103,In Person,2,358,DePue,IL,61322
1712120,CCSD 62,In Person,11,4448,Des Plaines,IL,60016
1712150,DeSoto Cons SD 86,In Person,1,215,De Soto,IL,62924
1712210,Diamond Lake SD 76,In Person,3,918,Mundelein,IL,60060
1712240,Dieterich CUSD 30,In Person,2,558,Dieterich,IL,62424
1717800,Gurnee SD 56,In Person,4,1966,Gurnee,IL,60031
1717850,Northbrook ESD 27,In Person,3,1279,Northbrook,IL,60062
1718030,Hall HSD 502,In Person,1,419,Spring Valley,IL,61362
1718090,Hampton SD 29,In Person,1,228,Hampton,IL,61256
1718200,Hardin County CUSD 1,In Person,3,521,Elizabethtown,IL,62931
1718240,Harlem UD 122,In Person,11,6366,Machesney Park,IL,61115
1718270,Harrisburg CUSD 3,In Person,4,1866,Harrisburg,IL,62946
1718390,Hartsburg Emden CUSD 21,In Person,2,202,Hartsburg,IL,62643
1718420,Harvard CUSD 50,In Person,5,2683,Harvard,IL,60033
1718450,Harvey SD 152,In Person,6,1809,Harvey,IL,60426
1718480,W Harvey-Dixmoor PSD 147,In Person,3,888,Harvey,IL,60426
1718570,Hawthorn CCSD 73,In Person,9,3941,Vernon Hills,IL,60061
1718600,Hazel Crest SD 152-5,In Person,2,891,Hazel Crest,IL,60429
1718870,Heyworth CUSD 4,In Person,2,938,Heyworth,IL,61745
1718960,High Mount SD 116,In Person,1,375,Swansea,IL,62226
1718990,Highland CUSD 5,In Person,6,2862,Highland,IL,62249
1719080,Twp HSD 113,In Person,2,3467,Highland Park,IL,60035
1719110,LaGrange Highlands SD 106,In Person,2,926,La Grange Highlands,IL,60525
1719230,Hillside SD 93,In Person,1,435,Hillside,IL,60162
1719260,Hinckley Big Rock CUSD 429,In Person,3,717,Hinckley,IL,60520
1724870,Marshall CUSD 2C,In Person,4,1267,Marshall,IL,62441
1724940,Mascoutah CUD 19,In Person,5,4153,Mascoutah,IL,62258
1725000,Massac UD 1,In Person,7,2036,Metropolis,IL,62960
1725020,Matteson ESD 162,In Person,7,2561,Richton Park,IL,60471
1725050,Mattoon CUSD 2,In Person,5,3142,Mattoon,IL,61938
1725110,Maywood-Melrose Park-Broadview 89,In Person,9,4690,Melrose Park,IL,60160
1725260,McClellan CCSD 12,In Person,1,56,Mount Vernon,IL,62864
1725290,McHenry CCSD 15,In Person,8,4334,McHenry,IL,60050
1725500,Medinah SD 11,In Person,3,692,Roselle,IL,60172
1725590,CUSD 4,In Person,3,654,Mendon,IL,62351
1725620,Mendota CCSD 289,In Person,3,1081,Mendota,IL,61342
1725650,Mendota Twp HSD 280,In Person,1,522,Mendota,IL,61342
1725680,Meredosia-Chambersburg CUSD 11,In Person,3,200,Meredosia,IL,62665
1725740,Metamora CCSD 1,In Person,1,909,Metamora,IL,61548
1725770,County of Woodford School,In Person,1,952,Metamora,IL,61548
1725920,Midlothian SD 143,In Person,4,1732,Midlothian,IL,60445
1726100,Millburn CCSD 24,In Person,2,1203,Old Mill Creek,IL,60083
1726180,Fairfield Comm H S Dist 225,In Person,1,419,Fairfield,IL,62837
1726190,Millstadt CCSD 160,In Person,2,759,Millstadt,IL,62260
1726250,Miller Twp CCSD 210,In Person,1,168,Marseilles,IL,61341
1731740,Plainfield SD 202,In Person,30,26033,Plainfield,IL,60544
1731770,Plano CUSD 88,In Person,5,2353,Plano,IL,60545
1731950,Pleasant Valley SD 62,In Person,2,517,Peoria,IL,61604
1732100,Polo CUSD 222,In Person,3,555,Polo,IL,61064
1732190,Pontiac-W Holliday SD 105,In Person,2,688,Fairview Heights,IL,62208
1732220,Pontiac Twp HSD 90,In Person,1,662,Pontiac,IL,61764
1732370,Posen-Robbins ESD 143-5,In Person,5,1398,Posen,IL,60469
1732520,Prairie Grove CSD 46,In Person,2,713,Crystal Lake,IL,60014
1732550,Prairie Hill CCSD 133,In Person,2,735,South Beloit,IL,61080
1732580,Adlai E Stevenson HSD 125,In Person,2,4271,Lincolnshire,IL,60069
1732670,Princeton ESD 115,In Person,5,1158,Princeton,IL,61356
1732850,Prospect Heights SD 23,In Person,4,1480,Prospect Heights,IL,60070
1732910,Proviso Twp HSD 209,In Person,3,4244,Forest Park,IL,60130
1732960,Putnam County CUSD 535,In Person,4,844,Granville,IL,61326
1733000,Quincy SD 172,In Person,9,6502,Quincy,IL,62301
1733030,Raccoon Cons SD 1,In Person,1,247,Centralia,IL,62801
1733090,Ramsey CUSD 204,In Person,2,432,Ramsey,IL,62080
1733240,Rantoul Township HSD 193,In Person,1,784,Rantoul,IL,61866
1733300,Red Bud CUSD 132,In Person,2,1044,Red Bud,IL,62278
1733380,Reed Custer CUSD 255U,In Person,3,1341,Braidwood,IL,60408
1739180,Tonica CCSD 79,In Person,1,138,Tonica,IL,61370
1739390,Tremont CUSD 702,In Person,3,1008,Tremont,IL,61568
1739420,Wesclin CUSD 3,In Person,4,1375,Trenton,IL,62293
1739450,Tri City CUSD 1,In Person,3,547,Buffalo,IL,62515
1739480,Tri Point CUSD 6-J,In Person,3,354,Kempton,IL,60946
1739510,Troy CCSD 30C,In Person,7,4195,Plainfield,IL,60586
1739600,Tuscola CUSD 301,In Person,3,987,Tuscola,IL,61953
1739630,Century CUSD 100,In Person,2,371,Ullin,IL,62992
1739660,Union SD 81,In Person,1,105,Joliet,IL,60433
1739780,Union Ridge SD 86,In Person,1,661,Harwood Heights,IL,60706
1739960,Urbana SD 116,In Person,11,4424,Urbana,IL,61803
1740070,Valley View CUSD 365U,In Person,20,15979,Romeoville,IL,60446
1740200,Venice CUSD 3,In Person,1,88,Venice,IL,62090
1740260,Vienna SD 55,In Person,1,386,Vienna,IL,62995
1740290,Vienna HSD 133,In Person,1,362,Vienna,IL,62995
1740320,Villa Grove CUSD 302,In Person,3,635,Villa Grove,IL,61956
1740350,SD 45 DuPage County,In Person,8,3306,Villa Park,IL,60181
1740410,Virginia CUSD 64,In Person,2,301,Virginia,IL,62691
1740440,CHSD 94,In Person,1,1952,West Chicago,IL,60185
1740470,Wabash CUSD 348,In Person,4,1513,Mount Carmel,IL,62863
1800205,Dynamic Minds Academy,In Person,1,113,Indianapolis,IN,46250
1800210,Attica Consolidated School Corp,In Person,2,629,Attica,IN,47918
1800212,Borden-Henryville School Corp,In Person,4,0,Sellersburg,IN,47172
1800213,Silver Creek School Corporation,In Person,4,0,Sellersburg,IN,47172
1800240,South Dearborn Community Sch Corp,In Person,6,2214,Aurora,IN,47001
1800270,Avon Community School Corp,In Person,12,9871,Avon,IN,46123
1800360,Bartholomew Con School Corp,In Person,17,11499,Columbus,IN,47201
1800390,Batesville Community School Corp,In Person,4,2215,Batesville,IN,47006
1800420,Baugo Community Schools,In Person,4,1911,Elkhart,IN,46517
1800450,Beech Grove City Schools,In Person,5,2939,Beech Grove,IN,46107
1800480,Benton Community School Corp,In Person,4,1731,Fowler,IN,47944
1800570,Blackford County Schools,In Person,4,1572,Hartford City,IN,47348
1800630,Monroe County Community Sch Corp,In Person,24,11182,Bloomington,IN,47401
1800660,Blue River Valley Schools,In Person,2,655,Mount Summit,IN,47361
1800690,North Harrison Com School Corp,In Person,4,2194,Ramsey,IN,47166
1800720,MSD Bluffton-Harrison,In Person,3,1652,Bluffton,IN,46714
1800900,Bremen Public Schools,In Person,2,1462,Bremen,IN,46506
1800960,Brown County School Corporation,In Person,6,1858,Nashville,IN,47448
1801020,Brownsburg Community School Corp,In Person,11,9453,Brownsburg,IN,46112
1801050,Brownstown Cnt Com Sch Corp,In Person,3,1581,Brownstown,IN,47220
1800205,Dynamic Minds Academy,In Person,1,113,Indianapolis,IN,46250
1800210,Attica Consolidated School Corp,In Person,3,796,Loogootee,IN,47553
1806080,MSD Warren County,In Person,4,1304,Williamsport,IN,47993
1806090,Maconaquah School Corp,In Person,4,2160,Bunker Hill,IN,46914
1806120,Madison Consolidated Schools,In Person,7,2791,Madison,IN,47250
1806390,Marion Community Schools,In Person,9,3878,Marion,IN,46953
1806510,MSD Martinsville Schools,In Person,10,4340,Martinsville,IN,46151
1806570,Michigan City Area Schools,In Person,12,5474,Michigan City,IN,46360
1806630,Milan Community Schools,In Person,4,1033,Milan,IN,47031
1806660,Mill Creek Community Sch Corp,In Person,5,1534,Clayton,IN,46118
1806840,School City of Mishawaka,In Person,10,5329,Mishawaka,IN,46544
1806870,Mississinewa Community School Corp,In Person,5,2529,Gas City,IN,46933
1807020,Cowan Community School Corp,In Person,2,804,Muncie,IN,47302
1807080,Monroe Central School Corp,In Person,2,1090,Parker City,IN,47368
1807140,Mooresville Con School Corp,In Person,7,4412,Mooresville,IN,46158
1807230,Yorktown Community Schools,In Person,4,2685,Yorktown,IN,47396
1807260,Mt Vernon Community School Corp,In Person,6,4338,Fortville,IN,46040
1807290,MSD Mount Vernon,In Person,5,2032,Mount Vernon,IN,47620
1807320,Muncie Community Schools,In Person,11,5073,Muncie,IN,47303
1807350,School Town of Munster,In Person,5,4206,Munster,IN,46321
1811910,Union-North United School Corp,In Person,2,1281,Lakeville,IN,46536
1811970,Valparaiso Community Schools,In Person,12,6278,Valparaiso,IN,46385
1812060,Crothersville Community Schools,In Person,2,439,Crothersville,IN,47229
1812090,Vigo County School Corp,In Person,28,14642,Terre Haute,IN,47807
1812120,Vincennes Community School Corp,In Person,7,2709,Vincennes,IN,47591
1812150,Wabash City Schools,In Person,3,1599,Wabash,IN,46992
1812360,MSD Warren Township,In Person,15,11830,Indianapolis,IN,46219
1812390,Warrick County School Corp,In Person,18,10162,Boonville,IN,47601
1812420,Warsaw Community Schools,In Person,11,6957,Warsaw,IN,46580
1812720,MSD Washington Township,In Person,14,11157,Indianapolis,IN,46240
1812810,MSD Wayne Township,In Person,18,16915,Indianapolis,IN,46241
1812880,Frankton-Lapel Community Schools,In Person,5,3156,Anderson,IN,46011
1812900,West Noble School Corporation,In Person,4,2267,Ligonier,IN,46767
1812930,West Washington School Corp,In Person,2,899,Campbellsburg,IN,47108
1812990,Western Boone Co Com Sch Dist,In Person,3,1732,Thorntown,IN,46071
1813080,Westfield-Washington Schools,In Person,9,8435,Westfield,IN,46074
1813110,Westview School Corporation,In Person,5,2292,Topeka,IN,46571
1813200,School City of Whiting,In Person,3,1245,Whiting,IN,46394
1813230,Whitko Community School Corp,In Person,4,1314,Larwill,IN,46764
1900006,North Fayette Valley Comm School District,In Person,5,1128,West Union,IA,52175
1909540,Dunkerton Comm School District,In Person,2,428,Dunkerton,IA,50626
1909570,Boyer Valley Comm School District,In Person,2,433,Dunlap,IA,51529
1909600,Durant Comm School District,In Person,2,663,Durant,IA,52747
1910130,Easton Valley Comm School District,In Person,2,478,Preston,IA,52069
1910340,River Valley Comm School District,In Person,2,391,Correctionville,IA,51016
1910350,East Union Comm School District,In Person,2,552,Afton,IA,50830
1910500,Edgewood-Colesburg Comm School District,In Person,2,529,Edgewood,IA,52042
1910690,Eldora-New Providence Comm School District,In Person,2,574,Eldora,IA,50627
1910950,Emmetsburg Comm School District,In Person,3,826,Emmetsburg,IA,50536
1910980,English Valleys Comm School District,In Person,2,472,North English,IA,52316
1911070,Estherville Lincoln Central Com Sch Dist,In Person,3,1313,Estherville,IA,51334
1911250,Exira-Elk Horn- Kimballton Comm Sch Dist,In Person,2,400,Elk Horn,IA,51531
1911340,Fairfield Comm School District,In Person,4,1640,Fairfield,IA,52556
1911790,Forest City Comm School District,In Person,3,1159,Forest City,IA,50436
1911820,Fort Dodge Comm School District,In Person,7,3841,Fort Dodge,IA,50501
1911850,Fort Madison Comm School District,In Person,4,1881,Fort Madison,IA,52627
1912120,Fremont-Mills Comm School District,In Person,2,527,Tabor,IA,51653
1912230,Galva-Holstein Comm School District,In Person,3,450,Holstein,IA,51025
1912480,George-Little Rock Comm School District,In Person,4,412,George,IA,51237
1912510,Gilbert Comm School District,In Person,4,1591,Gilbert,IA,50105
1921720,Olin Consolidated School District,In Person,1,88,Olin,IA,52320
1921810,Orient-Macksburg Comm School District,In Person,2,161,Orient,IA,50858
1921870,Oskaloosa Comm School District,In Person,4,2196,Oskaloosa,IA,52577
1922110,Ottumwa Comm School District,In Person,9,4713,Ottumwa,IA,52501
1922440,Pekin Comm School District,In Person,2,719,Packwood,IA,52580
1922470,Pella Comm School District,In Person,5,2471,Pella,IA,50219
1922530,Perry Comm School District,In Person,3,1780,Perry,IA,50220
1923110,Pleasant Valley Comm School District,In Person,7,5244,Bettendorf,IA,52722
1923160,Pleasantville Comm School District,In Person,3,738,Pleasantville,IA,50225
1923190,Pocahontas Area Comm School District,In Person,3,721,Pocahontas,IA,50574
1923340,Postville Comm School District,In Person,2,767,Postville,IA,52162
1924000,Red Oak Comm School District,In Person,3,1075,Red Oak,IA,51566
1924120,Remsen-Union Comm School District,In Person,2,336,Remsen,IA,51050
1924870,Roland-Story Comm School District,In Person,3,1139,Story City,IA,50248
1924960,Rudd-Rockford-Marble Rk Comm School District,In Person,2,439,Rockford,IA,50468
1925320,Saydel Comm School District,In Person,3,1413,Des Moines,IA,50313
1925380,Schaller-Crestland Comm School District,In Person,2,401,Schaller,IA,51053
1925410,Schleswig Comm School District,In Person,2,185,Schleswig,IA,51461
1925590,Sergeant Bluff-Luton Comm School District,In Person,4,1709,Sergeant Bluff,IA,51054
1925920,West Fork Comm School District,In Person,3,738,Rockwell,IA,50469
2003430,Argonia Public Schools,In Person,2,169,Argonia,KS,67004
2003450,Arkansas City,In Person,8,2900,Arkansas City,KS,67005
2003480,Northeast,In Person,2,499,Arma,KS,66712
2003510,Ashland,In Person,3,213,Ashland,KS,67831
2003540,Atchison Public Schools,In Person,4,1726,Atchison,KS,66002
2003570,Attica,In Person,2,167,Attica,KS,67009
2003630,Augusta,In Person,6,2114,Augusta,KS,67010
2003720,Baldwin City,In Person,4,1390,Baldwin City,KS,66006
2003780,Basehor-Linwood,In Person,5,2832,Basehor,KS,66007
2003870,Beloit,In Person,2,806,Beloit,KS,67420
2003900,Belle Plaine,In Person,3,639,Belle Plaine,KS,67013
2003960,Twin Valley,In Person,4,572,Bennington,KS,67422
2004020,Otis-Bison,In Person,3,253,Otis,KS,67565
2004050,Bonner Springs,In Person,5,2764,Bonner Springs,KS,66012
2004080,Brewster,In Person,2,115,Brewster,KS,67732
2004140,Bucklin,In Person,2,247,Bucklin,KS,67834
2004170,Altoona-Midway,In Person,2,181,Buffalo,KS,66717
2004200,Buhler,In Person,5,2398,Buhler,KS,67522
2004230,Central,In Person,2,321,Burden,KS,67019
2004260,Burlingame Public School,In Person,2,292,Burlingame,KS,66413
2008070,Kingman - Norwich,In Person,7,915,Kingman,KS,67068
2008100,Kinsley-Offerle,In Person,2,336,Kinsley,KS,67547
2008130,South Barber,In Person,2,234,Kiowa,KS,67070
2008220,LaCrosse,In Person,3,278,La Crosse,KS,67548
2008250,Prairie View,In Person,4,895,LaCygne,KS,66040
2008310,Fairfield,In Person,1,312,Langdon,KS,67583
2008340,Lansing,In Person,4,2654,Lansing,KS,66043
2008370,Ft Larned,In Person,3,866,Larned,KS,67550
2008400,Lawrence,In Person,21,11802,Lawrence,KS,66044
2008430,Leavenworth,In Person,7,3814,Leavenworth,KS,66048
2008550,Bluestem,In Person,2,499,Leon,KS,67074
2008610,Leoti,In Person,2,406,Leoti,KS,67861
2008670,LeRoy-Gridley,In Person,3,200,LeRoy,KS,66857
2008730,Liberal,In Person,8,4768,Liberal,KS,67901
2008790,Lincoln,In Person,2,336,Lincoln,KS,67455
2008880,Little River,In Person,3,302,Little River,KS,67457
2008910,Logan,In Person,2,135,Logan,KS,67646
2008970,Louisburg,In Person,4,1804,Louisburg,KS,66053
2009000,Lyndon,In Person,2,437,Lyndon,KS,66451
2009030,Lyons,In Person,4,810,Lyons,KS,67554
2013020,Jefferson County North,In Person,2,477,Winchester,KS,66097
2013050,Winfield,In Person,6,2327,Winfield,KS,67156
2013110,Woodson,In Person,2,476,Yates Center,KS,66783
2100081,Muhlenberg County,In Person,11,4692,Powderly,KY,42367
2100090,Anchorage Independent,In Person,1,393,Anchorage,KY,40223
2100120,Anderson County,In Person,8,3808,Lawrenceburg,KY,40342
2100150,Ashland Independent,In Person,9,3411,Ashland,KY,41101
2100180,Augusta Independent,In Person,1,299,Augusta,KY,41002
2100210,Ballard County,In Person,5,1189,Barlow,KY,42024
2100240,Barbourville Independent,In Person,1,692,Barbourville,KY,40906
2100270,Bardstown Independent,In Person,6,2782,Bardstown,KY,40004
2100300,Barren County,In Person,11,5406,Glasgow,KY,42141
2100360,Beechwood Independent,In Person,3,1502,Fort Mitchell,KY,41017
2100390,Bell County,In Person,7,2672,Pineville,KY,40977
2100480,Berea Independent,In Person,3,1160,Berea,KY,40403
2100510,Boone County,In Person,25,21351,Florence,KY,41042
2100620,Boyd County,In Person,12,3322,Ashland,KY,41102
2100630,Boyle County,In Person,7,2817,Danville,KY,40422
2100690,Breathitt County,In Person,6,1939,Jackson,KY,41339
2100720,Breckinridge County,In Person,6,2783,Hardinsburg,KY,40143
2013020,Jefferson County North,In Person,2,477,Winchester,KS,42003
2104710,Paris Independent,In Person,4,743,Paris,KY,40361
2104740,Pendleton County,In Person,4,2417,Falmouth,KY,41040
2104770,Perry County,In Person,11,4052,Hazard,KY,41701
2104800,Pike County,In Person,19,8492,Pikeville,KY,41501
2104830,Pikeville Independent,In Person,2,1161,Pikeville,KY,41501
2104860,Pineville Independent,In Person,3,616,Pineville,KY,40977
2104890,Powell County,In Person,6,2297,Stanton,KY,40380
2104950,Pulaski County,In Person,14,8710,Somerset,KY,42503
2104980,Raceland-Worthington Independent,In Person,5,1102,Raceland,KY,41169
